rank_test_score,mean_test_score,param_extra_trees__n_estimators,param_extra_trees__max_depth,mean_fit_time,mean_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.9742867663820161,100,100,642.1700109004975,4.559522914886474,0.9755738308579845,0.974039523751074,0.9741798032579916,0.9741359659120798,0.9735047081309509
2,0.9733521541671781,50,100,323.0013660430908,2.5841631412506105,0.9732767539322099,0.973609917761139,0.9741096635045328,0.9723737046064284,0.9733907310315805
3,0.967895281348086,100,90,564.2898624420166,4.359131288528443,0.9682705290290905,0.9666748496379035,0.9680425748303495,0.968893019341037,0.9675954339020498
4,0.9668747479352608,50,90,271.913915014267,2.4976404190063475,0.9677883182240614,0.9677883182240614,0.9653772641989163,0.9689982289712251,0.9644216100580406
5,0.9646039734170335,10,100,68.0191822052002,0.7203846931457519,0.964859983517158,0.9645706570341406,0.9600641778744148,0.9643514703045819,0.9691735783548721
6,0.9596731487488821,100,80,394.84870429039,3.6118255138397215,0.9618527415876134,0.9615546476354135,0.9593890827473741,0.9586701502744218,0.9568991214995879
7,0.9591313191534132,10,90,47.05065970420837,0.5238248825073242,0.956294166126006,0.9643076329586702,0.9587227550895159,0.9595731996002034,0.9567588419926704
8,0.9569008749934245,50,80,194.9834568977356,1.947093391418457,0.9584509635448631,0.9582317768153045,0.9544354626593488,0.9563117010643708,0.9570744708832348
9,0.9445264689894615,100,70,325.0187393188477,3.1812925338745117,0.9428887057461993,0.9445895947675744,0.9499991232530818,0.9432920093285873,0.9418629118518649
10,0.943507689070473,50,70,158.95060062408447,1.7714159965515137,0.9446772694593979,0.946001157305932,0.9367514773185572,0.9418716793210472,0.9482368619474303
11,0.940035771274264,10,80,38.682277297973634,0.5058118820190429,0.9299391537638745,0.9466236476178786,0.9459836223675674,0.9352697750267408,0.9423626575952585
12,0.9256062704939592,100,60,258.8250950813293,3.0107165336608888,0.9319381367374494,0.9226446194041628,0.9233109470620211,0.9284136141261463,0.9217240351400164
13,0.9249346823545915,10,70,33.333229637146,0.4857053756713867,0.9339458871802065,0.9119395395325185,0.9336390257588244,0.9185589787651897,0.9265899805362184
14,0.9222658647354856,50,60,126.96662378311157,1.470579242706299,0.927545634677094,0.9242315313261674,0.9231005278016448,0.9186028161111014,0.9178488137614196
15,0.8973101404548561,10,60,26.866127824783327,0.4500892639160156,0.8831384032685126,0.9114485612583072,0.8742131196408844,0.9066176857388346,0.9111329323677427
16,0.8883690753827,100,50,192.2245219707489,2.56359658241272,0.8866716933489979,0.8830068912307774,0.8868032053867331,0.8857598765540339,0.899603710392958
17,0.8830279331568149,50,50,97.56796293258667,1.4532190799713134,0.8837696610496414,0.8777376422521875,0.8954128601237966,0.8608865664837189,0.8973329358747304
18,0.8644899963176629,10,50,21.038805437088012,0.4493455410003662,0.8608427291378071,0.8606498448157954,0.8652703010748917,0.8545827561416122,0.8811043504182082
19,0.8338476915253643,50,40,68.56305432319641,1.2168591499328614,0.8360307913517684,0.8505760227252801,0.8356800925844746,0.824282382647425,0.8226691683178734
20,0.8321205000964422,100,40,151.14802794456483,2.444947671890259,0.8496379035227691,0.8319276157744305,0.8281663714952042,0.8270002980939521,0.8238703115958548
21,0.8211664241000193,10,40,15.1927818775177,0.36918959617614744,0.8305072857668905,0.862157849515159,0.8368286310473618,0.81234108962107,0.7639972645496151
22,0.755448982096828,10,30,10.09385404586792,0.3575859069824219,0.7172228164618001,0.7652597801118729,0.7611303021269881,0.7810850619860071,0.7525469497974715
23,0.7433340931806625,50,30,44.43118371963501,1.0891032695770264,0.7453926949446773,0.7438583878377667,0.7564046362377036,0.7385365340440828,0.7324782128390819
24,0.736081642673026,100,30,87.17463488578797,1.9616147518157958,0.7696347472338635,0.7391151870101177,0.7133300601448386,0.7161356502831893,0.742192568693121
25,0.6105560328955443,50,20,23.95426650047302,0.8730151653289795,0.5838696101983202,0.6062091216749373,0.6058233530309141,0.6548861105753213,0.6019919689982289
26,0.602137508986656,100,20,46.25969924926758,1.5124477386474608,0.587315225586982,0.5969682091567449,0.6098914587315225,0.6066124252573252,0.6099002262007049
27,0.5839187080257413,10,20,5.58434739112854,0.31458635330200196,0.6104701116975574,0.5611706324852268,0.5843693559417139,0.6294779848848832,0.5341054551193253
28,0.40867804099668587,10,10,2.654240369796753,0.2874035358428955,0.3628855494572937,0.4480702800329657,0.47161970225674654,0.38128846727103755,0.37952620596538605
29,0.38397832681618127,100,10,17.198518419265746,1.2066486358642579,0.387942976380438,0.3823756334496484,0.36473548545476864,0.39246699047852845,0.39237054831752266
30,0.3813901699135528,50,10,9.343444633483887,0.7222054481506348,0.3719511125918392,0.3688474285012888,0.38395377790247065,0.41150116607340126,0.3706973644987638
