rank_test_score,mean_test_score,param_knn__n_neighbors,mean_fit_time,mean_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.9867365726209473,3,1.0657418251037598,1448.6090366840363,0.9869803082642165,0.9865331673359168,0.986638376966105,0.9865594697434639,0.9869715407950341
2,0.9867050097318908,5,1.1305106163024903,1121.1016352176666,0.9867611215346578,0.9867523540654755,0.9865770046818285,0.9866822143120167,0.9867523540654755
3,0.9864472461379299,7,1.1500552654266358,1050.9069200992585,0.986489329990005,0.9864980974591875,0.9863490504830875,0.9862964456679935,0.9866033070893756
4,0.9862368268775535,6,1.1331947326660157,1057.2773291110993,0.9865594697434639,0.9864542601132757,0.9860421890617055,0.9859194444931526,0.98620877097617
5,0.9861473986918936,4,1.1262104511260986,1544.970129585266,0.9864980974591875,0.9860947938767995,0.9861386312227113,0.985901909554788,0.9861035613459819
6,0.9861105753213278,8,1.1043267726898194,1047.3277050971985,0.9862701432604465,0.9861123288151642,0.9861386312227113,0.9858142348629645,0.9862175384453523
7,0.985951007382209,9,1.0951181888580321,1048.3864011764526,0.9860772589384348,0.9858142348629645,0.9860421890617055,0.9856213505409529,0.9862000035069877
8,0.9854968524785634,10,1.2803900718688965,1046.955363893509,0.9856827228252293,0.9854109312805766,0.9855687457258587,0.9851566746742885,0.9856651878868645
9,0.9852618843044766,1,1.3051498413085938,1210.2049899101257,0.9855950481334058,0.9852443493661119,0.9847796734994476,0.985218046958565,0.9854723035648529
10,0.9842922022129091,2,1.0893454551696777,1182.0871667385102,0.9848848831296358,0.9844640446088831,0.9839730663346719,0.9840432060881306,0.9840958109032246
