rank_test_score,mean_test_score,param_tree__splitter,param_tree__max_depth,mean_fit_time,mean_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.966550351575514,random,100,71.69700298309326,0.2672422885894775,0.9667099195146329,0.9656665906819337,0.9671044556278384,0.9662540111171509,0.9670167809360151
2,0.9658910378930017,random,90,69.6354881286621,0.25783915519714357,0.9671482929737502,0.9654737063599221,0.9654649388907398,0.9655263111750162,0.9658419400655807
3,0.9657034140524996,random,80,62.8378399848938,0.23558764457702636,0.964912588332252,0.9657542653737572,0.9656578232127514,0.9662540111171509,0.9659383822265865
4,0.9640901997229478,random,70,62.284241771698,0.28246493339538575,0.9649564256781638,0.9631240246190534,0.9642374932052113,0.9632818390643357,0.9648512160479756
5,0.9630205684827017,best,100,78.84842162132263,0.2342700481414795,0.9636062354240825,0.9627207210366655,0.9632906065335181,0.9626944186291185,0.9627908607901243
6,0.9620263374774238,best,90,74.14789218902588,0.26537094116210935,0.9626856511599362,0.961817671710884,0.9624839993687422,0.9618352066492486,0.9613091584983079
7,0.9613845587332761,random,60,54.255676651000975,0.24893288612365722,0.9596433393536622,0.9636062354240825,0.9629486752354065,0.9587928948429746,0.9619316488102544
8,0.9606551052973048,best,80,69.518284034729,0.253035831451416,0.9613266934366725,0.9605463886794438,0.9606077609637202,0.9609496922618317,0.9598449911448561
9,0.9584720054709008,best,70,64.54648060798645,0.2729912757873535,0.9593627803398271,0.9579249153939224,0.9585561731750513,0.9587402900278805,0.9577758684178225
10,0.95578565291343,best,60,57.96894307136536,0.2620072364807129,0.956951726314682,0.9553911168002245,0.9559610022970769,0.9556453734065125,0.9549790457486542
11,0.9554402146276455,random,50,50.91121482849121,0.25799360275268557,0.9530677374669028,0.9570130985989584,0.9583282189763103,0.9543039506216136,0.9544880674744428
12,0.9510038752213786,best,50,49.89236354827881,0.23059382438659667,0.9521909905486682,0.950639148503393,0.9515597327675394,0.9499903557838995,0.950639148503393
13,0.9485770397517053,random,40,44.56555047035217,0.2790043830871582,0.9510599870241456,0.9462203440354907,0.9502884497360992,0.9481667221939715,0.9471496957688194
14,0.9438390994055655,best,40,49.653429698944095,0.2922390937805176,0.9447474092128566,0.9435988707499693,0.9445282224832979,0.9430640551298463,0.9432569394518578
15,0.9334286064984483,random,30,32.23979668617248,0.2871427536010742,0.9340423293412123,0.9422749829034351,0.9366024303424574,0.9303687597538095,0.9238545301513266
16,0.9302986200003508,best,30,37.92509055137634,0.2845571041107178,0.9306668537060092,0.9309737151273914,0.9299216188255098,0.9300969682091568,0.9298339441336864
17,0.9043714601343176,best,20,23.95501837730408,0.29512782096862794,0.9044521208507952,0.9046274702344421,0.9038296305388487,0.9049694015325536,0.9039786775149485
18,0.8976275228392572,random,20,19.487267875671385,0.28361711502075193,0.8797366252257623,0.8989110803275526,0.9015500885514387,0.9021287415174736,0.9058110785740588
19,0.8340090129583194,best,10,10.574212169647216,0.2864572525024414,0.832243244664995,0.8350312998649809,0.8325150362096477,0.8347156709744166,0.835539813077557
20,0.7828368023286398,random,10,9.044701480865479,0.4246383190155029,0.7992687930701924,0.8128846727103755,0.7713619386627856,0.7601571130477477,0.7705114941520981
